lon,lat
-82.22,36.34
-88.74,35.49
-88.46,36.36
-89.06,36.08
-87.33,35.25
-89.2,35.91
-88.6,36.03
-87.5,36.41
-84.51,36.51
-85.4,35.09
-89.54,35.73
-90.04,35.12
-83.99,36.43
-81.8,36.47
-85.16,35.27
-87.56,36.38
-83.37,36.19
-86.71,36.26
-87.99,35.39
-89.15,35.32
-85.71,35.01
-85.88,36.24
-89.94,35.03
-85.16,35.1
-86.71,35.77
-89.86,35.1
-87.0,35.39
-90.03,35.26
-85.08,35.45
-86.88,36.17
-83.98,36.01
-83.01,36.41
-86.87,36.11
-84.2,36.19
-85.51,35.02
-86.9,35.99
-88.29,36.18
-86.57,36.01
-82.38,36.31
-84.37,34.99
-90.05,35.15
-89.06,36.43
-83.98,35.57
-88.38,35.86
-82.37,36.33
-86.79,36.17
-85.8,35.42
-83.37,36.4
-87.83,36.66
-88.42,35.47
-86.77,36.17
-82.23,36.34
-85.85,35.22
-85.5,35.87
-90.07,35.05
-88.72,36.01
-86.32,36.15
-88.29,35.04
-86.68,35.05
-89.41,35.83
-86.69,36.61
-89.79,35.03
-81.74,36.57
-85.69,36.6
-89.51,35.21
-86.74,36.19
-83.29,36.21
-84.02,35.94
-85.3,35.05
-85.93,36.17
-89.79,35.21
-86.66,36.16
-89.38,35.17
-85.92,35.2
-83.96,35.76
-85.29,35.12
-89.19,35.91
-87.91,35.12
-88.82,35.59
-84.68,35.86
-86.04,36.08
-88.38,35.87
-86.87,35.92
-86.86,36.15
-89.05,36.43
-82.49,36.27
-85.15,36.37
-90.0,35.21
-84.11,35.97
-87.02,36.51
-88.22,35.67
-84.46,35.6
-89.11,35.79
-86.99,35.46
-86.79,36.0
-83.91,36.0
-83.53,35.87
-86.46,35.48
-89.68,35.05
-82.24,36.47
-85.5,36.16
-89.94,35.12
-86.8,36.43
-86.28,36.2
-88.98,36.13
-89.39,35.88
-90.03,35.15
-84.97,35.96
-88.88,36.5
-84.27,35.79
-85.02,35.49
-84.19,36.54
-88.51,35.59
-85.96,35.06
-89.89,35.33
-85.55,35.83
-84.84,36.22
-82.48,36.46
-86.68,36.56
-85.37,35.03
